text,confidence(Negative),confidence(Positive),prediction(Sentiment)
regardless fuss surround raheem sterl brendan rodger confirm plai arsen tomorrow ,1.0,0.0,Negative
want feel love brendan rodger commit gener ,1.0,0.0,Negative
brendan rodger give assess defeat arsen afternoon ,0.04388591443876028,1.0,Positive
bradi perform playoff elit team actual unlik rodger ,1.0,0.0,Negative
reckon rodger goner ,0.2916153921872945,1.0,Positive
brendan rodger champion leagu hope effect vanish ,0.12806155075418102,1.0,Positive
rodger averag sorta pluss team averag noth standout ,1.0,0.0,Negative
agent turn sterl rodger ,0.019055186012770998,1.0,Positive
boss brendan rodger criticis side dure saturdai arsen defeat ,0.29161539218729426,1.0,Positive
quot brendan rodger raheem sterl outstand arsen todai stat ,0.1731829099712551,1.0,Positive
quot brendan rodger sterl outstand todai lost plot hasnt ,-0.018024797737569476,1.0,Positive
liverpool manag brendan rodger rule topfour finish ,0.14842474886471232,1.0,Positive
hahahaha come agent turn sterl rodger ,1.0,0.0,Negative
live stream sanchez rodger unit ftbltr ,0.11787439714417569,1.0,Positive
live stream sanchez rodger unit ftbltr ,0.11787439714417569,1.0,Positive
